,Region,VP,Ethnicity,BadHires
0,West,Rosalina Reach,Group A,67
1,West,Rosalina Reach,Group B,27
2,West,Rosalina Reach,Group C,29
3,West,Rosalina Reach,Group D,6
4,West,Rosalina Reach,Group E,0
5,West,Rosalina Reach,Group F,4
6,West,Rosalina Reach,Group G,3
7,West,Li Pennywell,Group A,79
8,West,Li Pennywell,Group B,41
9,West,Li Pennywell,Group C,4
10,West,Li Pennywell,Group D,0
11,West,Li Pennywell,Group E,2
12,West,Li Pennywell,Group F,10
13,West,Dianna Mason,Group A,79
14,West,Dianna Mason,Group B,67
15,West,Dianna Mason,Group C,15
16,West,Dianna Mason,Group D,4
17,West,Dianna Mason,Group E,0
18,West,Dianna Mason,Group F,16
19,West,Dianna Mason,Group G,2
20,South,Miguel Shuck,Group A,91
21,South,Miguel Shuck,Group B,72
22,South,Miguel Shuck,Group C,20
23,South,Miguel Shuck,Group D,4
24,South,Miguel Shuck,Group E,1
25,South,Miguel Shuck,Group F,15
26,South,Miguel Shuck,Group G,0
27,South,Maurine Krieger,Group A,96
28,South,Maurine Krieger,Group B,176
29,South,Maurine Krieger,Group C,6
30,South,Maurine Krieger,Group D,9
31,South,Maurine Krieger,Group E,2
32,South,Maurine Krieger,Group F,12
33,South,Maurine Krieger,Group G,1
34,South,April Legolis,Group A,241
35,South,April Legolis,Group B,65
36,South,April Legolis,Group C,11
37,South,April Legolis,Group D,6
38,South,April Legolis,Group E,4
39,South,April Legolis,Group F,6
40,South,April Legolis,Group G,0
41,South,Andrew Thompson,Group A,78
42,South,Andrew Thompson,Group B,170
43,South,Andrew Thompson,Group C,6
44,South,Andrew Thompson,Group D,3
45,South,Andrew Thompson,Group E,0
46,South,Andrew Thompson,Group F,14
47,South,Andrew Thompson,Group G,0
48,Central,Li Xi,Group A,179
49,Central,Li Xi,Group B,81
50,Central,Li Xi,Group C,19
51,Central,Li Xi,Group D,0
52,Central,Li Xi,Group E,1
53,Central,Li Xi,Group F,7
54,Central,Li Xi,Group G,4
55,Central,June Foster,Group A,133
56,Central,June Foster,Group B,29
57,Central,June Foster,Group C,3
58,Central,June Foster,Group D,6
59,Central,June Foster,Group E,0
60,Central,June Foster,Group F,3
61,Central,June Foster,Group G,0
62,Central,Jean Shagall,Group A,164
63,Central,Jean Shagall,Group B,72
64,Central,Jean Shagall,Group C,5
65,Central,Jean Shagall,Group D,1
66,Central,Jean Shagall,Group E,1
67,Central,Jean Shagall,Group F,7
68,Central,Jean Shagall,Group G,0
69,Central,Angelita Bowley,Group A,144
70,Central,Angelita Bowley,Group B,36
71,Central,Angelita Bowley,Group C,9
72,Central,Angelita Bowley,Group D,1
73,Central,Angelita Bowley,Group E,3
74,Central,Angelita Bowley,Group F,9
75,East,Patty Gallop,Group A,1
76,East,Patty Gallop,Group B,1
77,East,Patty Gallop,Group C,1
